DOC_ID	LABEL	RATING	VERIFIED_PURCHASE	PRODUCT_CATEGORY	PRODUCT_ID	PRODUCT_TITLE	REVIEW_TITLE	REVIEW_TEXT
19624	__label2__	4	Y	Books	0982761015	Modernist Cuisine at Home	Great Photos, Interesting Reading but Overwhelming for this Home Cook	Great photos and thought provoking for a home cook. But honestly it is a bit overwhelming for me. I am an avid home cook but these recipes require new equipment, new methods and considerable effort or at least that is my impression. As of now I have only made some of the pestos. In time I intend to do more but I will take it slow.
1864	__label1__	1	N	Toys	B00LPCSAX6	Jenga GIANT Premium Hardwood Game	Very poorly executed	Great idea but very poorly executed.<br />We loved the idea of playing Giant Jenga in our backyard but this is not satisfactory.<br />Yeah, the size is ok but it's not really that big.<br />Note this game does not include a storage bag so it's got nowhere to go once it's unpacked.<br />I have now bought another far superior item.
18922	__label2__	5	Y	Apparel	B002POPMMA	Elegant Moments Women's Sheer Suspender Pantyhose, Black, One Size	Hot stockings	I love these, we all have to wear stockings at some point under a dress or what not but these are just secretly sexy underneath your dress, me and my boyfriend love it.
14163	__label2__	5	Y	Musical Instruments	B007QS47TY	Forestone FUA040 Alto Saxophone	Fantastic Reed	I ordered this with mixed expectations. A lot of people consider these reeds to be thinner than advertised. I agree, however, I found that the reed plays wonderfully like real cane. I play mostly jazz with these, and usually play on a Rico Reserve Classic 3.5 (not a 'jazz' reed, mind you, but my choice for such). This reed has easily replaced them. It is full-bodied, and has a flexibility allowing the reed to vibrate without the harsh buzziness associated with synthetics. Next time, I may try the Forestone Black series of reeds. They're supposed to be firmer.
928	__label1__	4	N	PC	B00008Y1BX	Motorola Surfboard SB5100 Cable Modem	Cable modem	We were looking to get a cable modem at a great price. We found it in this modem. It gives us exactly the same features as what we were leasing from comcast. It works great
4295	__label1__	5	Y	Beauty	B00CDAQCAW	Botox Alternative:hyaluronic Acid,15% Matrixyl 3000, 20% Argireline,5 % Vitamin C,repair, Boost Collagen, 1oz Serum by PROTOXYN -X5	Totally appreciated.	From my teen years to my adulthood I have suffered from wrinkles on my face. I didn't know the reason of it but it really disgusted me when I looked in the mirror. I'm in my early 30's and my face looked more like of a 55 year old. I needed immediate assistance and luckily I stumbled across this Botox alternative acid and to be honest, I've never felt more confident in myself. My deep wrinkles are barely noticeable and I've only been using this for a short time. Can't wait some more time to pass and I'll finally look how I wanted to.
4517	__label1__	5	Y	Kitchen	B00KB159JU	Silicone Baking Cups - 24 Cupcake Liners By purpledink - Reusable Bakeware	Strong, stable cases	I was really happy with these - they are a great price, and a decent quality. They have a good strength to them, and are stable when you pour the batter in. You don't need a muffin tray underneath like with some others. Recommend these for sure.
15268	__label2__	5	N	Electronics	B008AWDCDW	SOL REPUBLIC 1102-61 AMPS In-Ear Headphones with 1-Button Remote and Microphone - Black	I was a pretty committed SkullCandy user	I didn't buy these headphones from Amazon but I got it new from our campus bookstore.  Before I started using the SOL AMPS, I was a pretty committed SkullCandy user.  Specifically I had the SkullCandy Ink'd 2 and Smokin' Buds 2.  I honestly didn't have any problem with these except for the occasional times when they will fall apart.  I got the SOL AMPS for fun and I'm really glad I picked them out and this is why...<br /><br />DESIGN<br />I wanted something different from SkullCandy and I thought the style of these looked fun and unique.  The SOL logo on the side definitely looks attractive.  I also like how the buds are angled so you can get a better fit.  I was a little worried about the outer part being abnormally large and odd when they are in my ears, but it doesn't really bother me, and in fact it feels very comfortable...<br /><br />COMFORT<br />These are one of the best fitting ear headphones I've ever tried.  They are so comfortable that I sometimes forget I have them in my ears when the music isn't playing.  While the SkullCandy buds fits me fairly well, they don't fit other people when they ask to borrow my SkullCandy headphones.  However, the fitting of the SOL AMPS is perfect.  It feels very snug.  I have exercised (ex. running on treadmill, weightlifting, biking, etc.) using both SkullCandy and SOL AMPS and the SOL AMPS are superior by far.  I never feel like they are going to fall out no matter how much I sweat or move.  These headphones are definitely a plus in comfort.<br /><br />SOUND QUALITY<br />The switch from SkullCandy to SOL AMPS is phenomenal.  I feel like I can hear a crisp sound compared to SkullCandy.  I love SkullCandy and thought it was great but wow these definitely give an additional boost to the bass.  The bass isn't overwhelming and it sounds just right.  I'm a person who listens a WIDE range of music (ex. Electronic, Rap, Country, to Classical) and the quality doesn't sound lost in all of the genres.<br /><br />MIC and VOLUME<br />I've used this for calls and skype and I never have problems talking or hearing people.  I sometimes have to hold the mic portion close to my mouth to make myself clearer but this isn't really a problem for me.  This is definitely a nice feature.<br /><br />Having the controls for the volume is so wonderful.  It definitely eliminates the hassle of taking taking out your phone (I have an iPhone) to adjust the volume or even shuffling music.  I use these buttons (almost as an abuse) because that's how convenient they are.  When I am using the SOL AMPS on the bus or any public areas, I never hear any background noises and in addition I can have the volume high without bothering the person who is next to me.<br /><br />PRICE<br />I bought these for a little more than what it is selling on Amazon.  I think these headphones are definitely worth the price!  I would highly recommend this to anyone who wants a treat to an enjoyable experience.  Good job Sol Republic!
18004	__label2__	5	Y	Furniture	B00GTCL2FU	Best Price Mattress 10-Inch Memory Foam Mattress, Full	Great mattress	best purchase ever! had a bit of a smell but were fine after a day or two. Bought 2 full size, they are very comfortable and arrived early.
10074	__label1__	4	N	Shoes	B000H71Z0U	ECCO Men's Track II Low Gore-Tex Oxford,Bison/Bison,44 EU (US Men's 10-10.5 M)	Comfort and fit correctly.	Shoes are good, comfort and fit correctly. The lace loosens many times a day by normal walking pressure and you have to tie it multiple times. The lace has already started fraying at the eyelets in effort to tie them tightly.
